PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=101 ttl=115 time=43.1 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=115 time=13.5 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=115 time=16.7 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=115 time=24.2 ms
64 bytes from 8.8.8.8: icmp_seq=105 ttl=115 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=106 ttl=115 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=107 ttl=115 time=16.5 ms
64 bytes from 8.8.8.8: icmp_seq=108 ttl=115 time=24.0 ms
64 bytes from 8.8.8.8: icmp_seq=109 ttl=115 time=17.7 ms
64 bytes from 8.8.8.8: icmp_seq=110 ttl=115 time=15.9 ms
64 bytes from 8.8.8.8: icmp_seq=111 ttl=115 time=13.7 ms
64 bytes from 8.8.8.8: icmp_seq=112 ttl=115 time=226 ms
64 bytes from 8.8.8.8: icmp_seq=113 ttl=115 time=35.7 ms
64 bytes from 8.8.8.8: icmp_seq=114 ttl=115 time=13.8 ms
64 bytes from 8.8.8.8: icmp_seq=115 ttl=115 time=17.7 ms
64 bytes from 8.8.8.8: icmp_seq=116 ttl=115 time=15.6 ms
64 bytes from 8.8.8.8: icmp_seq=117 ttl=115 time=19.3 ms
64 bytes from 8.8.8.8: icmp_seq=118 ttl=115 time=16.0 ms
64 bytes from 8.8.8.8: icmp_seq=119 ttl=115 time=26.3 ms
64 bytes from 8.8.8.8: icmp_seq=120 ttl=115 time=19.7 ms
64 bytes from 8.8.8.8: icmp_seq=121 ttl=115 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=122 ttl=115 time=40.7 ms
64 bytes from 8.8.8.8: icmp_seq=123 ttl=115 time=13.7 ms
64 bytes from 8.8.8.8: icmp_seq=124 ttl=115 time=16.7 ms
64 bytes from 8.8.8.8: icmp_seq=125 ttl=115 time=35.8 ms
