nummer,actie,resultaat,reactietijd_ms,response
1,aan,succes,60.7,[{'success': {'/lights/1/state/on': True}}]
2,uit,succes,53.88,[{'success': {'/lights/1/state/on': False}}]
3,aan,succes,72.81,[{'success': {'/lights/1/state/on': True}}]
4,uit,succes,57.82,[{'success': {'/lights/1/state/on': False}}]
5,aan,succes,50.31,[{'success': {'/lights/1/state/on': True}}]
6,uit,succes,55.68,[{'success': {'/lights/1/state/on': False}}]
7,aan,succes,58.35,[{'success': {'/lights/1/state/on': True}}]
8,uit,succes,65.28,[{'success': {'/lights/1/state/on': False}}]
9,aan,succes,67.91,[{'success': {'/lights/1/state/on': True}}]
10,uit,succes,49.56,[{'success': {'/lights/1/state/on': False}}]
11,aan,succes,55.22,[{'success': {'/lights/1/state/on': True}}]
12,uit,succes,60.08,[{'success': {'/lights/1/state/on': False}}]
13,aan,succes,63.77,[{'success': {'/lights/1/state/on': True}}]
14,uit,succes,44.28,[{'success': {'/lights/1/state/on': False}}]
15,aan,succes,49.35,[{'success': {'/lights/1/state/on': True}}]
16,uit,succes,45.08,[{'success': {'/lights/1/state/on': False}}]
17,aan,succes,54.23,[{'success': {'/lights/1/state/on': True}}]
18,uit,succes,69.67,[{'success': {'/lights/1/state/on': False}}]
19,aan,succes,73.95,[{'success': {'/lights/1/state/on': True}}]
20,uit,succes,68.16,[{'success': {'/lights/1/state/on': False}}]
21,aan,succes,63.26,[{'success': {'/lights/1/state/on': True}}]
22,uit,succes,74.57,[{'success': {'/lights/1/state/on': False}}]
23,aan,succes,65.72,[{'success': {'/lights/1/state/on': True}}]
24,uit,succes,67.11,[{'success': {'/lights/1/state/on': False}}]
25,aan,succes,58.26,[{'success': {'/lights/1/state/on': True}}]
26,uit,succes,61.63,[{'success': {'/lights/1/state/on': False}}]
27,aan,succes,60.41,[{'success': {'/lights/1/state/on': True}}]
28,uit,succes,70.63,[{'success': {'/lights/1/state/on': False}}]
29,aan,succes,56.63,[{'success': {'/lights/1/state/on': True}}]
30,uit,succes,77.77,[{'success': {'/lights/1/state/on': False}}]
