nummer,actie,resultaat,reactietijd_ms,response
127,aan,succes,54.13,[{'success': {'/lights/1/state/on': True}}]
128,uit,succes,36.72,[{'success': {'/lights/1/state/on': False}}]
129,aan,succes,63.76,[{'success': {'/lights/1/state/on': True}}]
130,uit,succes,77.09,[{'success': {'/lights/1/state/on': False}}]
131,aan,succes,70.14,[{'success': {'/lights/1/state/on': True}}]
132,uit,succes,67.89,[{'success': {'/lights/1/state/on': False}}]
133,aan,succes,70.81,[{'success': {'/lights/1/state/on': True}}]
134,uit,succes,58.53,[{'success': {'/lights/1/state/on': False}}]
135,aan,succes,56.31,[{'success': {'/lights/1/state/on': True}}]
136,uit,succes,69.26,[{'success': {'/lights/1/state/on': False}}]
137,aan,succes,46.49,[{'success': {'/lights/1/state/on': True}}]
138,uit,succes,44.65,[{'success': {'/lights/1/state/on': False}}]
139,aan,succes,68.3,[{'success': {'/lights/1/state/on': True}}]
140,uit,succes,56.17,[{'success': {'/lights/1/state/on': False}}]
141,aan,succes,68.25,[{'success': {'/lights/1/state/on': True}}]
142,uit,succes,61.58,[{'success': {'/lights/1/state/on': False}}]
143,aan,succes,61.71,[{'success': {'/lights/1/state/on': True}}]
144,uit,succes,58.9,[{'success': {'/lights/1/state/on': False}}]
145,aan,succes,70.67,[{'success': {'/lights/1/state/on': True}}]
146,uit,succes,57.15,[{'success': {'/lights/1/state/on': False}}]
147,aan,succes,56.23,[{'success': {'/lights/1/state/on': True}}]
148,uit,succes,60.49,[{'success': {'/lights/1/state/on': False}}]
149,aan,succes,47.0,[{'success': {'/lights/1/state/on': True}}]
150,uit,succes,44.96,[{'success': {'/lights/1/state/on': False}}]
151,aan,succes,48.52,[{'success': {'/lights/1/state/on': True}}]
152,uit,succes,46.63,[{'success': {'/lights/1/state/on': False}}]
153,aan,succes,66.15,[{'success': {'/lights/1/state/on': True}}]
154,uit,succes,46.23,[{'success': {'/lights/1/state/on': False}}]
155,aan,succes,56.3,[{'success': {'/lights/1/state/on': True}}]
156,uit,succes,56.38,[{'success': {'/lights/1/state/on': False}}]
157,aan,succes,68.83,[{'success': {'/lights/1/state/on': True}}]
158,uit,succes,45.74,[{'success': {'/lights/1/state/on': False}}]
159,aan,succes,70.57,[{'success': {'/lights/1/state/on': True}}]
160,uit,succes,68.88,[{'success': {'/lights/1/state/on': False}}]
161,aan,succes,74.34,[{'success': {'/lights/1/state/on': True}}]
162,uit,succes,64.13,[{'success': {'/lights/1/state/on': False}}]
